S.No,"Part No","Part Name"
1,"001 HR","Gear Assembly"
2,"BR 1001","A Main Roller 3.5F 206"
3,"BR 1002A","Center Roller - 3.5 206"
4,"BR 1003A","Support Roller - 3.5F 206"
5,"BR 1011","Chain Sprocket 4step"
6,"BR 1029","Roller Cup 1.6mm Cs206"
7,"BR 1004","Roller Cup Bearing Fit 2.5"
8,"BR 1040","Triangle  Bearing Lock Cup 206"
9,"BR 1018","Circlip A 25"
10,"JSS 1410","M10 X 25MM"
11,"JSS 1412","M10 X30MM"
12,"JSS 1306","M8 X 20MM"
13,"JSS 1308","M8 X 25MM"
14,"BR 2080","Shaping Plate Bolt 8x25"
15,"BR 2088","Shaping Plate Bolt 8x30"
16,"BR 2039","Shaping Plate"
17,"JSS 1382M8","SUN LOCK NUT"
18,"BR 2086","R Cotter Pin 2mm"
19,"BR 2072","R Cotter Pin 3mm"
20,"BR 2074","Chain Tighter 6303 Bearing 14T"
21,"BR 5053","6303 Bearing"
22,"BR 2070","Chain Tensan Roller Big 13T"
23,"BR 2085","Bearing 6203 2RS (NBC)"
24,"BR 2076","B-47 Circlip"
25,"BR 2050","Circlip B40"
26,"BR 2049","Circlip A18"
27,"BR 2021","Chain Adj Lever Small"
28,"BR 2003","Chain Adj Lever Big"
29,"BR 2004","Chain Adj Lever Rod Big"
30,"BR 2091","Chain Adj Lever Rod Small"
31,"JSS 1486","M10 H . NUT"
32,"JSS 1487","M10 SUNLOCK NUT"
33,"BR 1014","Door Joint CI"
34,"BR 1033","Door Joint Bearing Fit CS206"
35,"BR 1019","Bearing CS205 2RS"
36,"BR 1030","Bearing CS 206 2RS"
37,"BR 1034","M20 Flange Nut"
38,"BR 1022","Sim Waser 2mm"
39,"BR 2005","Chain Adj Lever Spring"
40,"BR 2006","Chain Adj Lever Coller"
41,"BR 1009","Chain Sprocket 3 Step"
42,"BR 1041","Sprocket 1Step  20T"
43,"BR 1049","Diamond Chain 5/8"
44,"BR 1045","Diamond Chain Lock 5/8"
45,"JSS 1492","Plate Washer M10x25x2mm"
46,"JSS 1386","Plate Washer M8x21x3mm"
47,"BR 1025","Chain Adj Center Roller"
48,"001 Roller","Ass 310"
49,"001 Roller","Assambly 112"
50,"BR 1002B","Center Roller - 2.5F 206"
51,"BR 1001B","Main Roller 2.5F 206"
52,"BR 1003B","Support Roller - 2.5F  206"
53,"BR 1003B1","Support Plain Roller - 2.5F"
54,"JSS 2094","M20 SUN LOCK NUT"
55,"BR 2098","Chain Tension Roller Big 6303 5/8"
56,"BR 1059","Renold Chain 152 Pitch"
57,"BR 1047","Renold Connecting Link Full 5/8"
58,"JSS 1310","M8 X 30MM"
59,"BR 2073","R Cotter Pin 1.6mm"
60,"JSS 1387","M8x1mm Plate Waser"
61,"JSS 1595","M12 SUN LOCK NUT"
62,"BR 2096","Titer Pin Bolt"
63,"JSS 2134","M20 Plate Waser 3mm"
64,"JSS 1599","M12 Plate Waser 25x1.6mm"
65,"BR 1051","Renold  Center Chain 42 Pitch"
66,"JSS 1490","M10 Spring Waser"
67,"JSS 1385","M8 Spring Waser"
68,"BR 1003C","Support Plain Roller - 3F 206"
69,"BR 8000","F Frame"
70,"BR 8000","R Frame"
71,"001 Roller","Assembly 212"
72,"BR 1002","Center Roller 3F 206"
73,"BR 1003","Support Roller 3F- 206"
74,"BR1058 Chain","Sprocket 4 Step 30 Dia 3/4"
75,"BR 1027","3 Step Spracket 3/4"
76,"BR 1057","22T Sprocket 30 Dia"
77,"BR 2094","Chain Tension Roller Big 6303 3/4"
78,"BR 2093","Chain Tension Roller Small 6203 3/4"
79,"JSS 1496","M10 Plate Waser"
80,"BR 1073","Door Joint SI"
81,"BR 2059","Tyre 400x8"
82,"BR 2060","Wheel Tube"
83,"BR 2061","Wheel Disk 400x8"
84,"BR 2062","Wheel Hup"
85,"BR 2063","Wheel Shaft"
86,"BR 2065","Bearing 6205 2Rs"
87,"JSS 1241","M6 X 16MM A"
88,"JSS 1461","M10 X 30MM A"
89,"JSS 1517","M12 X 80MM HALF"
90,"JSS 1797","M16 SUN LOCK NUT"
91,"JSS 1799","M16 Plate Waser"
92,"BR 1052","Main Roller30 Dia 3F"
93,"001 Roller","Assmbly 312"
94,"BR 7061","A Gear Box Flange Single 3.5 Ex 4G RHS"
95,"BR 7060","Housing 4G"
96,"BR 7084","PTO Cover Ex 4G"
97,"BR 7057","PTO Shaft Ex 4G"
98,"BR 7070","Oil Seal 30x52x10"
99,"BR 7047","Oil Seal 40x72x8"
100,"BR 7048","Cirlclip B-72"
101,"BR 7049","OILSEAL 40X72X10"
102,"BR 7069A","Gear Shaft 3.5 4G"
103,"BR 7064","Bevel 19 T New"
104,"BR 7065","Bevel 12 T 4G"
105,"BR 7074","10*10 KEY"
106,"BR 3024","Loader Pipe Waser 1mm"
107,"BR 7037","Bearing 6305 2RS"
108,"BR 7039","Bearing 6206 2 RS"
109,"BR 7071","Bearing 6210ZZ"
110,"BR 7080","Bearing 30207"
111,"BR 7081","Bearing 32210"
112,"BR 7078","Sprocket 16 T Ex 4G"
113,"BR 7079","Chain Sprocket Flang Ex 4G"
114,"BR 7077","Nylon Bush 4G"
115,"BR 7075","Gear Shaft Bush MS Ex 4G"
116,"JSS 1219","M6 X 60MM"
117,"JSS 1268","M6 SUNLOCK NUT"
118,"BR 6005","Spracket 43T"
119,"BR 7050","Oil Dummy"
120,"JSS 1408","M10 X 20MM"
121,"JSS 1511","M12 X 50MM"
122,"JSS 1512M12","X 55MM"
123,"JSS 1418","M10 X 50MM HALF"
124,"JSS 1419","M10 X 55MM HALF"
125,"JSS 1414","M10 X 35MM"
126,"JSS 1317","M8 X 55MM HALF"
127,"BR 2055","Front Stand"
128,"JSS 1446","M10 X 25MM CSK"
129,"JSS 1598","M12 Spring Waser"
130,"002 Gear","Ass 310"
131,"002 Gear","Assambly 112"
132,"BR 7036","Square Lock Plate"
133,"BR 7028",Spracket
134,"BR 7029","Spracket Flange"
135,"BR 7030","Nylon Bush 3G"
136,"BR 5042","Grease Nipple M6"
137,"BR 7033","Joint Hand RHS Set"
138,"BR 7018","Joint Hand LHS 20mm"
139,"BR 7034","Hand Pin"
140,"BR 7035","Sunlock Nut 1"""
141,"BR 7055","1"" Spring Waser"
142,"BR 7020","Bevel Gear 22T"
143,"BR 7021","Bevel Gear 12T"
144,"BR 7085","PTO Shaft J Type"
145,"BR 7008","Gear Shaft 3"
146,"BR 7052","7x7 Key"
147,"BR 7041","Oil Seal 40x62x10"
148,"BR 7042","Oil Seal 25x45x10"
149,"BR 7043","Oil Seal 25x52x10"
150,"BR 7038","Bearing 6205 2RS"
151,"BR 7051","Bearing 6007 2RS"
152,"JSS 1210","M6 X 30MM Half"
153,"JSS 1316","M8 X 50MM"
154,"JSS 1267","M6 H. NUT"
155,"BR 7013","Circlip B62"
156,"BR 1023","Sim Waser 2.5 mm"
157,"BR 1021","Sim Waser 1mm"
158,"BR 1026","Chain Lock Half 3/4"
159,"BR 2067","Wheel Set"
160,"BR 7102","Thred Lock Past Small"
161,"BR 7061","Flange Single 3 Ex 4G RHS"
162,"BR 7069","A Gear Shaft EX-4G"
163,"BR 7096","Bearing 22207"
164,"BR 7095","Bearing 22206 2RS"
165,"BR7078 Sprocket","4G 3/4"
166,"BR 3015","Clutch Cotter Pin"
167,"BR 1015","Chain 3/4"
168,"BR 1016","Chain Lock 3/4"
169,"JSS 1216","M6 X 50MM"
170,"JSS 1507","M12 X 35MM"
171,"JSS 1512","M12X55 Half"
172,"JSS 1513","M12 X 60MM HALF"
173,"BR 7090","PTO Shaft Nut"
174,"BR 1024","Sim Waser 3mm"
175,"BR 7019","Joint Hand 20mm RHS"
176,"BR 7031","PTO Joint"
177,"BR 7091","Anabond Silicon Paste"
178,"BR 7092","Anabond Lock Paste"
179,"BR 7087","140 GEAR OIL"
180,"BR 7068","Flange Single 3 Ex 4G LHS"
181,"002 Gear","Assambly 312"
182,"BR 7101","Gear Shaft 4G 2.5f"
183,"JSS 1509","M12 X 40MM"
184,"BR 1046","Renold Offset Link 5/8"
185,"BR 1042","Renold Offset Link 3/4"
186,"BR 1070","Renold Chain 166 Pitch"
187,"SP037 Gear","Oil 140-1ltr"
188,"002 Gear","Assembly 212 4G"
189,"002 HR","Wheel Assembly"
190,"BR 6001","Valve Connecting Lever"
191,"BR 6003","Sprocket 9T"
192,"BR 6004","Spraket Bush"
193,"BR 6006","1/2 Diamond Chain"
194,"BR 6007","Diamond Chain Lock 1/2"
195,"BR 6008","Oil Pressure Tube"
196,"BR 6009","H Nipple"
197,"BR 6010","Siwle Elbow"
198,"BR 6012","Ball Valve"
199,"BR 6015","Valve Block"
200,"BR 6033",MINIPOL
201,"BR 6034",Pump
202,"BR 6035","Presure  Control Spring"
203,"BR 6036","Presure Control Needle"
204,"BR 6090","Hy Pipe"
205,"BR 6089","A Hy Door"
206,"BR 6038","O Ring 13*11"
207,"BR 6039","O Ring 32*36"
208,"BR 6040","O Ring 115 X3"
209,"BR 6025",Switch
210,"BR 6024","Contact Block"
211,"BR 6043","Switch Box"
212,"BR 6031","Wire 1WAY Connector"
213,"BR 6050","OIL BOLT"
214,"BR 6051","OIL AIR FLOW BOLT"
215,"BR 6052","12V DC VALVE"
216,"BR 6060","RUPPER BEADING"
217,"BR 6068","3MM KEY"
218,"BR 6071","BUSH 13.5 ID"
219,"BR 6073","Dowty Waser 1/4"""
220,"BR 6074","Pump Bolt"
221,"BR 6077","Hy.Manual Pin"
222,"BR 6078","Hy.Manual Spring"
223,"BR 6079","Hy.Manual Guider"
224,"BR 6080","Hy.Manual Op.Bar"
225,"BR 6081","Hy.Manual Op.Suport Bar"
226,"BR 6082","Hy.Manual Guider Pin"
227,"BR 6083","Hy.Manual Lever"
228,"BR 6085","Hy.Loading  Rod"
229,"BR 6014",Cylinder
230,"BR 2038","Flange CI"
231,"BR 2043","Oil Tube Clamb"
232,"BR 6088","Earth Clamp"
233,"BR 5013","Scale Lock Spring"
234,"BR 2020","M8 Adj Clamb"
235,"BR 2033","Scale L Lever Rod Adj Rivit M8"
236,"JSS 1381","M8 H. NUT"
237,"JSS 1505","M12 X 30MM"
238,"JSS 1575","M12 X 35MM A"
239,"JSS 1717","M16 X 90MM"
240,"JSS 1322","M8 X 80MM HALF"
241,"BR 6027",POPPET
242,"JSS 1245","M6 X 25MM A"
243,"JSS 1594","M12 H. NUT"
244,"BR 6097","Oil Seal 13.5x27x10"
245,"BR 6049","Oil Tank"
246,"003 Hydralic","Assambly 112"
247,"JSS 3331","M10X10MM Gripscrew"
248,"BR 6019","Renold Hy Chain 62 Pitch"
249,"BR 6020","Renold 1/2"" Connecting Link"
250,"BR 6013","Oil Flow Control Valve"
251,"BR 6084","Hy.Manual Op Lever"
252,"BR 5056","Grease Nipple 75 M6"
253,"BR 6089",Hy.Door
254,"JSS 1239","M6 X 12MM A"
255,"BR6044 2","Way Wire Connector"
256,"BRP 6098","Insulation Tap"
257,"JSS 1121","M5 X 16MM CSK"
258,"JSS 1140","M5 X 35MM A"
259,"JSS 1152","M5 Sunlock Nut"
260,"BR 6072","SPROCKET COLLER"
261,"BR 6099","Plate Waser M14"
262,"BR 6095",Tag
263,"JSS 1388","M8 Plate Waser 2mm"
264,"JSS 3341","M12X20MM Gripscrew"
265,"JSS 3322","M8X8MM Gripscrew"
266,"JSS 1120","M5 X 12MM CSK"
267,"JSS 1363","M8 X 65MM A"
268,"BR 6059","Double Core Wire 1.5"
269,"BR 6094","Engine Oil 20w/40"
270,"BR 8100","B Scale Frame"
271,"003 Hydralic","Assambly 212"
272,"BR 8100","Scale Frame"
273,"BR 5063","Scale Bed 3F"
274,"BR 6105","Cylinder Lock Pin"
275,"BR 7093","Linch Pin"
276,"BR 6026","2Way Wire Connector"
277,"BR 6102","Panel Buzzer PS 30"
278,"BR 6104","Limit Switch"
279,"BR 6053","Hy.Cylinder Tupe"
280,"BR 6054","Hardcrome Rod"
281,"BR 6055","Seal Flange(Piston)"
282,"BR 6056","Hy.Cylinder Flange"
283,"BR 6058","Cylinder Lock Nut"
284,"BR 6061","PU SEAL25X33X6.3"
285,"BR 6062","PU WIPER SEAL 25X33X5.6"
286,"BR 6063","O RING 20X3"
287,"BR 6064","Wear Strip 9.7*2.5"
288,"BR 6066","O RING 45X3"
289,"BR 6101","GLIDER RING 40MM"
290,"BR 6087","Hy.Oil Seal Kit"
291,"BR 6086","Bump Oil Seal Kit"
292,"003 Hydralic","Assambly 312"
293,"BR 6090","A Hy Pipe"
294,"JSS 1717","M16 X 90MM HALF"
295,"003 Hydraulic","Ass 310"
296,"004 HR","CAM Assembly"
297,"BR 5001","Twin Tension Plate"
298,"BR 5002","Twin Tenson Plate Spring"
299,"BR 5003","Twine Guid Roller"
300,"BR 5004","Twin Guid 1 Roll Spring"
301,"BR 5005","Twin Pully Wheel"
302,"BR 5006","Travelling Motor"
303,"BR 5007","Arm 1 CI"
304,"Connecting Lever",
305,"BR 5009","Scale Connecting Lever Lock Bush"
306,"BR 5010","Scale Lock"
307,"BR 5067","Piston Spring K Type"
308,"BR 5012","Scal Opener"
309,"BR 5014","Scale Lock Puller"
310,"BR 5015","Puller L Angle"
311,"BR 5016","Twin Guid U Clamp"
312,"BR 5017","Twin Guid U Clamp Rubber Bed"
313,"BR 5018","Twin Guid Uclamp Bush"
314,"BR 5019","Scale Return Spring"
315,"BR 5020B","Arm 2 Scal 2.5"
316,"BR 5021","Scal Support Bed"
317,"BR 5022","Twin Round Nylon Bush"
318,"BR 5049","Arm 2 Nylon Bush New"
319,"BR 5024","TwinCutter Blade Clamp"
320,"BR 5027","Arm 3"
321,"BR 5028","Arm3 Twin Tenson Plate"
322,"BR 5029","Arm 3 Tenson Plate Spring"
323,"BR 5030","Arm 4"
324,"BR 5031","Arm 4 Spring"
325,"BR 5032","Bearing Bed Nylon"
326,"BR 5047","Bearing Bed Plate 5mm"
327,"BR 5035","Bearing 628 2RS"
328,"BR 5036","Bearing  6301 2RS"
329,"BR 5038","Bearing HF 2520"
330,"BR 5039","Circlip A8"
331,"BR 5040","Towel Pin 5*30"
332,"BR 2084","Adj Bolt 10 x 100"
333,"BR 5050","Twin Guid U Clamp New"
334,"BR 2013","Tension Spring Big 4mm"
335,"BR 2014","Door Lock Lever RHS"
336,"BR 2015","Door Lock Leaver Patta RH"
337,"BR 2016","Door Lock Lever Patta Coller"
338,"BR 2017","Door Lock Lever  Spring"
339,"BR 2018","Door Lock Lever Bed Bush"
340,"BR 2019","Door Lock Lever Rod"
341,"BR 2022","Level Scale"
342,"BR 2023","Level Scale Rod"
343,"BR 2024","Loading Adj U Clamp"
344,"BR 2028","Two Side Bend Rod"
345,"BR 2029","Door Lock Lever LHS"
346,"BR 2030","Scale L Lever"
347,"BR 2035","Arm CI"
348,"BR 2036","Arm Control Spring RHS"
349,"BR 2037","M10 X 60 Adj Bolt"
350,"JSS 1202","M6 X 12MM"
351,"JSS 1206","M6 X 20MM"
352,"JSS 1218","M6 X 60MM"
353,"JSS 1304","M8 X 16MM"
354,"JSS 1317","M8 X 55MM"
355,"JSS 1339","M8 X 20MM CSK"
356,"JSS 1418","M10 X 50MM"
357,"JSS 1448","M10 X 35MM CSK"
358,"BR 2090","Door Lock Lever Patta LH"
359,"JSS M6","Plate Waser"
360,"BR 5044",Blade
361,"BR 5006","G Bearing 6005 2Rs"
362,"BR 8515","Z Cover"
363,"BR 5059","T.Motor Frame"
364,"BR4049 Twine","Guid Nylon Bush"
365,"BR 2056","Circlip A15"
366,"004 Scal","Assambly 212"
367,"BR 5011","Scale Lock Piston Spring"
368,"BR 5020","Arm 2 Scal 3F"
369,"BR 3018","Loader Lock Spring"
370,"BR 5006","H Bearing 6202 2Rs"
371,"BR 2048","Bearing 6203 2 RS Normal"
372,"BR 5006","A Travelling Motorbox"
373,"BR 5006","F T.Motor Back Cover"
374,"BR 7908","Z Cover"
375,"BR 5006","B Worm Gear"
376,"BR 5006","C Worm Main Shaft"
377,"BR 5006","D Worm Gear Shaft"
378,"BR 7012","Oil Seal 16x35x7"
379,"BR 5006","J Oil Dummy 35(6.5)"
380,"BR 5006","O Oil Seal 25*45*10"
381,"BR 6091","O Ring 57x3"
382,"BR 5006","L Circlip B35"
383,"JSS 1320","M8 X 70MM HALF"
384,"JSS 1419","M10 X 55MM"
385,"BR 3426","M8 Plate (Tine) Waser 8x26x3\"
386,"BR 1599","M12 Plate Waser 3mm"
387,"JSS 2084","M20 X 90MM A"
388,"BR 5006","N Oil Bolt"
389,"BR 5062","Grease Nipple M5"
390,"BR 5006","E 6*6 Key"
391,"BR 5060A",Blade
392,"004 Scal","Assambly 312"
393,"BR 5020A","Arm 2 Scal 3.5"
394,"BR 5048","Scale Bed Nylon Bush"
395,"BR 5033","Bearing Bed Plate"
396,"BR 2013A","Tension Spring Big 3mm"
397,"BR 2025","Loading Lever"
398,"004 Scale","Assambly 112"
399,"004 Scale","Assembly 310"
400,"BR 3001A","Pickup Frame 3.5"
401,"BR 3002","Loader LHS Cover"
402,"BR 3003","RH Loader Cover (Cam)"
403,"BR 3004","Right Side Top Cover"
404,"BR 3005","Round Plate"
405,"BR 3006","Bush with Bolt"
406,"BR 3007","Bearing Lock Cup CI"
407,"BR 3008","Bearing Lock Cup 204"
408,"BR 3009A","Loader Shaft 3.5"
409,"BR 3010","Tine Plate"
410,"BR 3011A","Tine Pipe 3.5 F"
411,"BR 3012","Tine Pipe Nylon Bush"
412,"BR 3013",Tine
413,"BR 3014","Cam CI"
414,"BR 3016A","Crop Cover 3.5F"
415,"BR 3017","Rotor Flush"
416,"BR 3019","Clutch Cover Dummy"
417,"BR 3022","Circlip A12"
418,"BR 3027","Loader Cotter Pin 5 x 70"
419,"BR 3028","Loader Lifting Chain"
420,"BR 3029","Bearing CS201 2RS"
421,"BR 3030","Bearing CS204 2RS"
422,"BR 2007","Loader Lock Lever"
423,"BR 2008","Loader Lock Lever Lock"
424,"BR 2009","Loader Lock Lever Rod"
425,"BR 2010","M10 Adj Clamb LT"
426,"BR 2011","M10 Adj Clamb RT"
427,"BR 2012","Loader Lock Lever Rivit M10"
428,"BR 4009","Bearing Lock Cup 205"
429,"BR 3026","Loader Pipe Waser 3mm"
430,"BR4011 Clutch","Chain Small"
431,"JSS 1340","M8 X 25MM CSK"
432,"JSS 1421","M10 X 65MM HALF"
433,"JSS 1417","M10 X 45MM"
434,"BR 4007","Square Bar"
435,"BR 4008","Chain Tighter Bush"
436,"BR 4010","Loader Nut M20"
437,"JSS 1491","M10 H Left Nut"
438,"BR 4000","Clutch Set"
439,"JSS 1353","M8 X 20MM A"
440,"BR 2032","Adj Bolt 10x80"
441,"005 Loader","Ass 310"
442,"005 Loader","Ass 312 4G+"
443,"BR 3040","4G+ Pickup Frame 3F"
444,"BR 3041","4G+ Extra Pickup Pipe"
445,"BR 3042","4G+ Loader Cover RHS"
446,"BR 3043","4G+ Loader Cover LHS"
447,"BR 3044","4G+ Loader Top Cover"
448,"BR 3051","4G+ Crop Cover"
449,"BR 3011","Tine Bar Pipe 3F"
450,"BR 3009","Loader Shaft 3F"
451,"BR 3025","Loader Pipe Waser 2mm"
452,"BR 1006","Triangle Bearing Lock Cup CS205"
453,"BR 3046","4G+ Loader Input Shaft"
454,"BR 3047","4G+ Input Drive Shaft LH"
455,"BR 3048","4G+ Input Drive Shaft RH"
456,"BR 3037","Cam Si"
457,"BR 3045","16MM Thread Rod 115MM"
458,"BR 3049","4G+ Drive Shaft Clamp"
459,"BR 3050","4G+ Drive Shaft Square Bar"
460,"BR 5045","Circlip B-52"
461,"BR 2134","M20 Plate Waser"
462,"JSS 3428","M8 Plate Waser 3mm  8x21x3"
463,"JSS 1898","M16 Half Nut"
464,"BR 4012","Crope Cover Wasar"
465,"BR 4015","Clutch Chain 84 Pitch"
466,"BR 4005","Clutch Spracket"
467,"BR 4006","Brass Bush"
468,"BR 4001","Clutch Lock Plate"
469,"BR 4013","Clutch Spl Bolt 10 x 50"
470,"BR 4002","Clutch Spring"
471,"BR 4014","A Clutch Plate"
472,"BR 2078","Chain Tenson Roller Small 13T"
473,"005 Loader","Assambly 112"
474,"BR 3001B","Pickup Frame 2.5"
475,"BR 3009B","Loader Shaft 2.5F"
476,"BR 3011B","Tine Pipe 2.5 F"
477,"BR 3016B","Crop Cover 2.5"
478,"Cotter Pin",Small
479,"JSS 1421","M10 X 65MM"
480,"M10 X","60 Adj Bolt"
481,"005 Loader","Assambly 212"
482,"BR 3001","Pickup Frame 3"
483,"BR 3016","Crop Cover 3F"
484,"BR 4004","Connecting Spraket"
485,"BR 1050","Renold Clutch Chain 60 Pitch"
486,"BR 5053","Bearing 6303 2RS"
487,"005 Loader","Assambly 312"
488,"005 Loader","Assy 310 4G+"
489,"BR 3040","A 4G+ Pick Up Frame"
490,"BR 3041","A 4G+ Extra Pickup Pipe"
491,"BR 3051","A 4G+ Crop Cover"
492,"JSS 2037","M20 X 200MM"
493,"BR 7901","Logo Back Door 3F"
494,"BR 7902","Tools Box Logo Door"
495,"BR 7903","Door Front LHS"
496,"BR 7904","Door Front RHS"
497,"BR 7905","Door Back LHS"
498,"BR 7906","Door Back RHS"
499,"BR 7907","Twine Stand New"
500,"Dop Cover",RH
501,"Door Top","Cover LH 3F"
502,"BR 5055","A Glass 3.5F"
503,"BR 5054","Glass Frame"
504,"BR 2069","Oil Flow Tank Set"
505,"BR 2068","Counting Machine Set"
506,"BR 2054","Stand Spring"
507,"BR 2058","Door Hinge"
508,"BR 2057","Tools Box Hinge"
509,"BR 2052","Danger Glass"
510,"BR 5046","Glass Rod RH"
511,"JSS 1122","M5 X 20MM CSK"
512,"JSS 1151","M5 Waser"
513,"JSS 1204","M6 X16MM"
514,"006 Door","Assambly 112"
515,"BR 5055","Glass 3F"
516,"BR 2044","Counting Machine"
517,"BR 2045","Counting Machine Frame"
518,"BR 2046","Counting Machine Rod"
519,"BR 2047","Counting Machine Spring"
520,"BRP 2040","Oil Flow Tank"
521,"BR 2041","Oil Tank Stand"
522,"BR 2042","Oil Tank Clamb"
523,"BR 5061","Glass Rod LH"
524,"006 Door","Assambly 212"
525,"BR 2040","Oil Flow Tank"
526,"BR 7910","Side Door Top Cover LH"
527,"BR 7911","Side Door Top Cover RH"
528,"BR 2053","Back Stand"
529,"006 Door","Assambly 312"
530,"BRX 7901","Logo Back Door 3F"
531,"BR 7902","A Tools Box Logo Door"
532,"BRX 7903","Door Front LHS"
533,"BRX 7904","Door Front RHS"
534,"BRX 7905","Door Back LHS"
535,"BRX 7906","Door Back RHS"
536,"BRX 8000","F Frame"
537,"BRX 8000","R Frame"
538,"BR 7908","A Z Cover"
539,"BR 5054","A Glass Frame 3.5 F"
540,"006 Door","Assembly 310"
541,"008 Frame",Assy
542,"008 Gear","Ass 3 Ex-4G"
543,"BR 1035","Bearing Puller Set"
544,"BR 7094","Top Link Pin"
545,"BR 2083","Twin Stand"
546,"BR 1090","SPANER SET"
547,"009 Free",Spares
548,01,
549,"1102 Multi","Gear Box Back Cover"
550,"16mm Drill",Bit
551,"50H-1 R","Chain JRB310 64P+Connecting Link"
552,"50H-1 R","CHAIN JRB 312 40 +1 Connecting Link"
553,"7/16 *","11/4 BSF Bolt"
554,"7/16 BSF","Sunloc Nut"
555,"Acrylic Sheet","2mm x 450 x 327"
556,"Arch Bending","Pipe 20 Square"
557,"ASPA Clear",
558,"Axle Nut","M28 x 1.1/2"""
559,"B 7042","OIL Seal 25-42-10"
560,"B80 Circlip",
561,"BR 1054","Renold Chain 148 Pitch"
562,"BR 1016","Chain Lock Full 3/4"
563,"BR 6002","Renold Hy Chain 64 Pitch"
564,"BR 9035","Tine Wheel Plate"
565,"BR 2061A","Wheel Disk Big"
566,"BR 9022","4mm Roller Cup"
567,"BR 9121","4mm Roller Cup 30 Dia"
568,"BR 8234","Loader Top Cover Cup Big"
569,"BR 8235","Top Cover Cup Small"
570,"BR 1005","Roller Cup 1.6mm (205)"
571,"BR 7018A","Joint Hand 20mm LHS"
572,"BR 7033A","Joint Hand RHS H Assy"
573,"BR 2019","A Door Lock Lever Rod 3.5"
574,"BR 2028","A Two Side Bend Rod 3.5F"
575,"BR 5061","Glass Rod RH"
576,"BR 9030","Loader Pipe 3F"
577,"BR 9030","A Loader Pipe 3.5F"
578,"BR 1610","Front Stand Pipe 33x27x3x565"
579,"BR 8045","Stay Pipe 3F 33 Dia"
580,"BR 8045","A Stay Pipe 3.5F 33 Dia"
581,"BR 9038","Crop Cover Pipe 3F"
582,"BR 9038A","Crop Cover Pipe 3.5F"
583,"BR 9106","Twin Stand Pipe"
584,"BR 9066","Front Stand Pipe"
585,"BR 8044","Back Hydraulic Pipe 931mm"
586,"BR 8044","A Back Hydraulic Pipe 1045mm"
587,"BR 8010","Wheel Base Pipe"
588,"BR 8010","A Wheel Base Pipe 3.5F"
589,"BR 8047","Back Stand Pipe A"
590,"BR 9058","Hand Pipe"
591,"Baler Sensor",Items
592,"BR 1724","Roller Shaft 3F 30.5x1057"
593,"BR 1702","Roller Shaft 25.4 x 1019"
594,"BR 1703","Roller Shaft 25.4 x 993"
595,"BR 1701","A Roller Shaft 30.5 x 1171"
596,"BR 1702","A Roller Shaft 25.4 x 1133"
597,"BR 1703","A Roller Shft 25.4 x 1107"
598,"BR 1707","Wheel Shaft 35 x 346"
599,"BR 1718","PTO Shaft 4G 42 x 217"
600,"BR PTO","Shaft J Type OD42mm x 169mm"
601,"BR 1705","Gear Shaft 25 x 1123"
602,"BR 1705","Gear Shaft Dia 30 x 1126"
603,"BR 1705","A Gear Shaft 30 x 1240"
604,"BR 1704","Loader Shaft 30.5 x 1146"
605,"BR 1704","A Loader Shaft 30.5 x 1262"
606,"BR 2099","Shaping Plate Bolt M8 x 20mm"
607,"BR 1056","4 Step Sprocket 30 Dia"
608,"BC 1001","Blade Plate Assy"
609,"BC 1002","Pto Cover Assy"
