S.No,"Part No","Part Name"
1717,"JSS 1514","M12 X 65MM"
1718,"JSS 1515","M12 X 70MM"
1719,"JSS 1519","M12 X 90MM"
1720,"JSS 1606","M14 X 35MM"
1721,"JSS 1609","M14 X 45MM"
1722,"JSS 1610","M14 X 50MM"
1723,"JSS 1620","M14 X 100MM"
1724,"JSS 1679","M14  SUNLOCK  NUT"
1725,"JSS 1680","M14 Spring Waser"
1726,"JSS 1703","M16 X 30MM"
1727,"JSS 1707","M16 X 40MM"
1728,"JSS 1708","M16 X 45MM"
1729,"JSS 1709","M16 X 50MM"
1730,"JSS 1726","M16 X 130MM"
1731,"JSS 1732","M16 X 160MM"
1732,"JSS 1798","M16 Spring Waser"
1733,"JSS 2011","M20 X 70MM"
1734,"JSS 2017","M20 X 100MM"
1735,"JSS 2019","M20 X 110MM"
1736,"JSS 2033","M20 X 180MM"
1737,"JSS 2035","M20 X 190MM"
1738,"JSS 3220","M16 X 110MM A"
1739,"JSS 3333","M10X16MM Gripscrew"
1740,"JSS 3342","M12X25MM Gripscrew"
1741,"M10 Welding",Nut
1742,"ML 1002","Gear Box Housing Flange Jagdeo Type"
1743,"ML 1003","3Gear Left Side  Pipe Assy JAGDEO TYPE 18B"
1744,"ML 1004","Pto Shaft Jagdeo Type"
1745,"ML 1007","Pinion Shaft Coupling Jagdeo Type"
1746,"ML 1008A","Pully Shaft Jagdeo Type 18B"
1747,"ML 1008","Gear Left Side Pipe Assy"
1748,"ML 1009","Bolt Patta"
1749,"ML 1009","Gear High Adjuster Jagdeo Type RH"
1750,"ML 1010","Gear Hight Adj Clamp Jagdeo Type"
1751,"ML 1011",Adjuster
1752,"ML 1012","Saw Plate Big 16B"
1753,"ML 1012","Saw Plate Big 18B"
1754,"ML 1012","Saw Plate Big 20B"
1755,"ML 1013","Saw Plate Small 16B"
1756,"ML 1013","Saw Plate Small 18B"
1757,"ML 1013","Saw Plate Small 20B"
1758,"ML 1019","PTO Cover"
1759,"ML 1019","Pto Cover Jagdeo Type"
1760,"ML 2000A","Mulching Frame 18B"
1761,"ML 2000","Mulching Frame 16B"
1762,"ML 2000","Mulching Frame 20B"
1763,"ML 1001","Gear Box Housing Jagdeo Type"
1764,"ML 2002","Saw Plate Large"
1765,"ML 2003","Saw Plate Small"
1766,"ML 2101","Mulching Roller Flange"
1767,"ML 2101","Roller Flange"
1768,"ML 3000","Pully Cover"
1769,"ML 4101","Square Elbow"
1770,"ML 4102","Side Plate Patta"
1771,"ML 4201A","Top Link LH"
1772,"ML 4201B","Top Link RH"
1773,"ML 4203","Top Link Bush"
1774,"ML 5000A","Door Assembly 18B"
1775,"ML 5000","Door Assembly 16B"
1776,"ML 5001","Door Hinge Pin"
1777,"ML 6000A","Rotary Assembly 18B"
1778,"ML 6000","Rotary Assembly 16B"
1779,"Ml 6003","Flail Hammer Blade"
1780,"ML 7001A","Roller Long 18B"
1781,"ML 7001","Roller Long 16B"
1782,"ML 7002","Roller Small"
1783,"ML 7003A","Long Roller Support LH"
1784,"ML 7003B","Long Roller Support RH"
1785,"ML 7004","Roller L Angle 16B"
1786,"ML 7004","Roller L Angle 18B"
1787,"ML 7004","Roller L Angle 20B"
1788,"ML 7005","Depth Skit"
1789,"ML 7006A","Flap Rod 18B"
1790,"ML 7006","Flap Rod 16B"
1791,"ML 7007A",Flap
1792,"ML 7007",Flap
1793,"ML 8010","Gear Box Adj Bar"
1794,"ML 8016","Grease Nipple Cover"
1795,"ML 8504","Door Bush"
1796,"ML 8601","A Rotor Pipe 18B"
1797,"ML 8601","Rotor Pipe 16B"
1798,"ML 8602","Mulching Roller Shaft RH"
1799,"ML 8603","Mulching Roller Shaft LH"
1800,"ML 8604","Mulching Roller Cup A"
1801,"ML 8701A","Mover Roller Pipr Large 18B"
1802,"ML 8701","Mover Roller Pipe Large 16B"
1803,"ML 8703","Mover Roller Pipe"
1804,"ML 8704","Mover Roller Side Plate"
1805,"ML 8705","Mover Roller Bush"
1806,"ML 8707","Leveller Support Bush"
1807,"ML 9101","Mover Roller Bush"
1808,"ML 9101","Mover Roller Pipe"
1809,"ML 9111","Leveler Roller Pipe"
1810,"ML 9112","Levelar Roller Flange"
1811,"mL 9122","LR Adj Hand Bush"
1812,"ML 9131","Flap Cover Rod"
1813,"ML 9161","Back Cover Bush"
1814,"ML 9204","Mulcher Roller Shaft RH"
1815,"ML 9205","Mulcher Roller Shaft LH"
1816,"ML 9206","Mulching Roller Cup A"
1817,"ML 9206","Roller Cup A"
1818,"ML 9207","Roller Cup B"
1819,"ML 9401","Gear Pipe Flange Jagdeo Type"
1820,"ML 9402A","Gear Left Side Pipe Jagdeo Type 16B"
1821,"ML 9402","Gear Left Side Pipe Jagdeo Type 18B"
1822,"ML 9403","Gear Pipe Coupling Jagdeo Type"
1823,"ML 9406","Gear Height Adj Boult M16"
1824,"MLP 1007","Pinion Shaft Coupling MS OD60mm x 121mm"
1825,"MLP 2101","Roller Flange EN8 OD210mm x 65mm"
1826,"MLP 9101","Mover Roller Bush MS OD70 x 20mm"
1827,"MLP 9112","Levelar Roller Flange EN8 OD140mm x 91mm"
1828,"MLP 9131","Flap Cover Rod MS OD18mm x 1875mm"
1829,"MLP 9204","Mul Roll Shaft RH EN8D  OD65mm x 205mm"
1830,"MLP 9205","Mul Roll Shaft LH EN8D  OD65mm x 318mm"
1831,"MLP 9206","Roller Cup A MS OD150mm x 23mm"
1832,"MLP 9207","Roller Cup B MS OD150mm x 23mm"
1833,"MLP 9403","Gear Pipe Coupling MS OD100mm x 103mm"
1834,"Ms Scrap",Material
1835,"MS Square","Pipe 20 x 20 x 1.6mm"
1836,"Mulcher 518",Frame
1837,"Mulcher Hammer",
1838,"Oil Tank","Nut Small"
1839,"Pully 10x5.5","JFC Sprocket"
1840,"Pully 10x5",Wheel
1841,"PU Seal","28 x 38 x 7.3"
1842,"Rack Stand",
1843,"RF 1000","A Frame Assy 22B"
1844,"RF 1002","Pyramid Hand RH"
1845,"RF 1003","Dummy Side Plate"
1846,"RF 1004","Drive Side Plate Assy"
1847,"RF 1005","Gear Box Flanch Clamp"
1848,"RF 1007","Back Cover 22B"
1849,"RF 2001","Oil Hump Cover"
1850,"RF 2001","Oil Sump Cover"
1851,"RF 2002","Chain Adj Pin Big"
1852,"RF 2003","Chain Adj Pin Small"
1853,"RF 2006","Gear Box Housing"
1854,"RF 2009","Main Flange Hub Big"
1855,"RF 2015","A Main Flange Shaft 22B"
1856,"RF 3001","Depth Skit"
1857,"RF 3002","Side Chain Cover"
1858,"RF 3003","Depth Skit Adj Patta"
1859,"RF 3003","Frame Stand Holder Assy"
1860,"RF 3005","Back Side Cover"
1861,"RF 3005","Back Side Cover Assy"
1862,"RF 3006","A Rotary Flange Pipe Assy 22B"
1863,"RF 3006","Rotary Flange Pipe Assy 18B"
1864,"RF 3009","A Frame Stand Holder RH"
1865,"RF 3009","Frame Stand Holder LH"
1866,"RF 8006","Back Cover"
1867,"RF 8008","Pyramid Hand LH"
1868,"RF 8010","Drive Side Plate"
1869,"RF 8020","Rotavator Clamp Small"
1870,"RF 8021","Rotavator Clamp Big"
1871,"Roller Bush","30 Dia"
1872,"Roto Ring","Seal TE1670-1700-T10-N70"
1873,"RP 1000","Ridge Plaster Full Assy"
1874,"RP 1001","Cultivator Frame Assy"
1875,"RP 2005","Base Frame Bush"
1876,"RP 8041","Top Link Support Piece"
1877,"RP 3004","Chain Drive Pipe Assy"
1878,"RP 8049","Chain Drive Pipe Assy"
1879,"RP 8050","Rectangular Flange"
1880,"RP 8051","Circular Flange"
1881,"RP 8052","Cover Support Piece"
1882,"RP 1002","Lifting Frame Assy"
1883,"RP 8017","Lifting Frame Base Tube"
1884,"RP 8018","Flange Cover Support Patta"
1885,"RP 8019","Flange Cover Support Angle"
1886,"RP 8020","Pendulum Plate"
1887,"RP 8021","Lifting Frame Main Hinge"
1888,"RP 8022","Lifting Frame Cylinder Hinge"
1889,"RP 8023","Pendulum  Plate Support Piece"
1890,"RP 8024","Pendulum Plate Support Piece 2"
1891,"RP 8025","Disc Frame Cylinder Hinge"
1892,"RP 8026","Hinge Support Piece"
1893,"RP 8088","Pendulum Support Piece 3"
1894,"RP 2022","Front Hand Bssh"
1895,"RP 1003","Disc Frame"
1896,"RP 1004","Disc Plaster"
1897,"RP 1005","Support Stand Assy"
1898,"RP 8060","Stand Pipe"
1899,"RP 8090","Stand Pipe Bolt"
1900,"RP 2008","Support Stand Wheel Bush 2"
1901,"RP 8062","Stand End Dummy"
1902,"RP 1006","Cylinder Full Assy"
1903,"RP 1007",Cylinder
1904,"RP 2001","Disc Drive  Shaft"
1905,"RP 2002","Disc Drive Bush"
1906,"RP 2003","Disc Frame Bearing Bush"
1907,"RP 2004","Disc Frame Pivot Bush"
1908,"RP 2007","Support Stand Wheel Bush"
1909,"RP 2009","Rotary Flange Bush"
1910,"RP 2010","Rotary Flange Shaft"
1911,"RP 2010","Rotary Flange Shaft(410mm)"
1912,"RP 2011","Cultivator Drive Spracket"
1913,"RP 2012","Rotary Flange Bearing  Bush"
1914,"RP 2013","Main Drive Shaft"
1915,"RP 2014","Gear Flange Drive"
1916,"RP 2015","Flange Rotary"
1917,"RP 2015","Gear Flange Rotary Side"
1918,"RP 2018","Back Coverjagdeo Type"
1919,"RP 2019","Lock Pin Bush"
1920,"RP 2020","Rotavator Hand Pin for Ridge Plater"
1921,"RP 2021","Center Pin Bush"
1922,"RP 2024","Cylinder Seal Flange"
1923,"RP 2025","Cylinder Seal Flange Head"
1924,"RP 2026","Seal Flange"
1925,"RP 2027","Cylinder Honic Tube"
1926,"RP 2028","Cylinder Honic Tube Dummy"
1927,"RP 2029","Hy H Nipple Small"
1928,"RP 2030","Hy H Nipple Big"
1929,"RP 2032","Hardcrome Rod Big"
1930,"RP 2033","Gear Drive Side Pipe"
1931,"RP 2035","Circularclosing Dummy"
1932,"RP 2036","Bearing 22208 NBC"
1933,"RP 2037","Pinion Shaft Coupling"
1934,"RP 3000","Disc Drive Shaft Plate"
1935,"RP 3001","Disc Plaster Mini"
1936,"RP 3002","Disc Cover Assy"
1937,"RP 3003","Flange Side Cover 2 Mount Patta Assy"
1938,"RP 3005","Rotary Flange"
1939,"RP 3006","Chain Tighter Assy"
1940,"RP 3008","Cylinder Honic Tube"
1941,"RP 8083","Back Mount Hinge"
1942,"RP 8083A","Back Mount Hinge A"
1943,"RP 2031","H Nipple Connecting Tube"
1944,"RP 3009","Hardcrome Rod Assy"
1945,"RP 8084","Hardcrome Rod Patta"
1946,"RP 8085","Hardcrome Rod Patta 2"
1947,"RP 3010","Disc Cover Support Assy"
1948,"RP 3011","Gear Flange Rotary Side Assy"
1949,"RP 3012","Gear Left Side Pipe Assy Small Jagdeo Type"
1950,"RP 3013","Support Stand Assy 2"
1951,"RP 3017","Frame Support Holder 2"
1952,"RP 6000","Cover Plate"
1953,"RP 6001","Flange Cover  2"
1954,"RP 6002","Flange Cover 3"
1955,"RP 6003","Flange Side Cover 1"
1956,"RP 6004","Flange Side Cover 2"
1957,"RP 6005","Sq Pipe Front Closing Sheet"
1958,"RP 6006","Sq Pipe Back Closing Sheet"
1959,"RP 6007","Rectangle Closing Plate"
1960,"RP 6105","Cylinder Lock Pin"
1961,"RP 7094","Center Hand Pin"
1962,"RP 8001","Disc Pipe Big"
1963,"RP 8002","Disc Pipe Flange"
1964,"RP 8008","Disc Drive Flange"
1965,"RP 8013","Disc Cover 2"
1966,"RP 8014","Disc Cover 3"
1967,"RP 8015","Disc Cover Support 1"
1968,"RP 8037","Hand Piece"
1969,"RP 8059","Circular Closing Dummy"
1970,"RP 8061","Support Stand Wheel"
1971,"RP 8063","Flange Cover 1"
1972,"RP 8064","Flange Cover 2"
1973,"RP 8066","Flange Cover Patta 1"
1974,"RP 8068","Flange Plate"
1975,"RP 8069","Chain Tighter Patta"
1976,"RP 8086","Disc Drive Bush Waser"
1977,"RP 8087","Ridge Plaster Pin"
1978,"RP 8091","Chain Tighter Hinge Rod"
1979,"RPP Hardchrome","Rod Dia36mm"
1980,"RT 1100","Multi Gear Box 42 Blade"
1981,"RT 1101","Multi Gear Box Housing"
1982,"RT 1102","Multi Gear Box Back Cover"
1983,"RT 1104","Multi Gear Box Dummy"
1984,"RT 1105","Multi gear flange RH 36 blade"
1985,"RT 8101","Gear Box Housing Flange"
1986,"RT 8102","Gear Box RH Pipe Flange"
1987,"RT 8103","Multi Gear Pipe RH 36 Blade"
1988,"RT 1105","Multi Gear Flange RH 42 Blade"
1989,"RT 1106","multi gear dummy flange 36 blade"
1990,"RT 8104","Multi Gear Dummy Pipe 36 Blade"
1991,"RT 8105","Multi Gear Spuare Flange"
1992,"RT 1106","Multi Gear Dummy Flange 42 Blade"
1993,"RT 1106","Multi Gear Dummy Flange LH"
1994,"RT 1107-M","Multi Gear Pto Shaft"
1995,"RT 1107","Multi Gear PTO Shaft"
1996,"RT 1107-S","Single Gear Pto Shaft"
1997,"RT 1108","Multi Gear Pinnion Shaft"
1998,"RT 1109","Multi Gear Transmission Shaft 36 Blade"
1999,"RT 1109","Multi Gear Transmission Shaft 42 Blade"
2000,"RT 1110","Bevel Gear 18T"
2001,"RT 1111","Multi Pinnion Gear 11T"
2002,"RT 1112","Multi Gear 18T"
2003,"RT 1113","Multi Gear 17T"
2004,"RT 1116","Multi Gear Transmissionshaft Cooler Beval"
2005,"RT1117 Multi","Transmission Shaft Coller Driver Side"
2006,"RT 1118","Multi Gear Coller"
2007,"RT 1119","Gear Box Breather Nut"
2008,"RT 1121","Bearing 30209"
2009,"RT 1122","Bearing 30210"
2010,"RT 1124","Bearing 30208"
2011,"RT 1125","B85 Cirlip"
2012,"RT 1126","A42 Circlip"
2013,"RT 1135","Big Flanch Gasket"
2014,"RT 1136","Small Flanch Gasket"
2015,"RT 1137","4 Hole Squre Gasket"
2016,"RT 1138","3Hole Gasket"
2017,"RT 1141","Oil Seal 65x90x10"
2018,"RT 2001","Disc Drive Shaft"
2019,"RT2001 Side","Gear Plate LH(20-35-28)"
2020,"RT 2002","Side Plate RHS"
2021,"RT 8202","DUMMY SIDE PLATE RIB"
2022,"RT8201 Dummy","Side Plate RH"
2023,"RT 2003","RD Shaft Hub"
2024,"RT 2004","Dead Axle Hub"
2025,"RT 2005","Idler Shaft"
2026,"RT 2006","End Cap"
2027,"RT 2007","Side Gear Cover 20 Holes"
2028,"RT 2009",Bearing6309
2029,"RT 2013","Side Gear Cover 22 Holes"
2030,"RT 2014","Dummy Flange Holder"
2031,"RT 8206","Base Plate - Dummy Pipe Holder"
2032,"RT 8207","Pipe Holder Ring"
2033,"RT 2015","Mud Cover"
2034,"RT 2016","Dust Plate RH"
2035,"RT 2017","Dust Plate LH"
2036,"RT 2101","Spur Gear 20 T"
2037,"RT2102 Spur","Gear 35 T"
2038,"RT2103 Spur","Gear 28 T"
2039,"RT3001 RD",Shaft
2040,"RT3102 Blade","L Type LH"
2041,"RT3003 Dust","Cover RH"
2042,"RT3004 Dead","Axle Shaft"
2043,"RT 3005","Rotary Wmt 42 Blade 10 inch 7 Flnage"
2044,"RT 3005","Rotary Wmt 42 Blade 10 inch 8 Flange"
2045,"RT 3005","Rotary Wmt 42 Blade 8 inch 8 Flange"
2046,"RT3101 Blade","L Type RH"
2047,"RT4002 Depth","Skid Adjuster"
2048,"RT 4003","Depth Skid Bottom Patta V2"
2049,"RT 4004","Depth Skid Adjuster Front"
2050,"RT4100 DEpth","Skid RH"
2051,"RT 8404","Depth Skid Top Patta V2"
2052,"RT 8405","V2-Depthskid Holder A"
2053,"RT 8406","V2-Depth Skid Holder B"
2054,"RT 4101","Depth Skid Top Rolling Patta RH"
2055,"RT 4150","Depth Skid RH V2"
2056,"RT4200 Depth","Skid LH"
2057,"RT 4201","Depth Skid Top Rolling Patta LH"
2058,"RT 4202","Depth Skid Top Patta LH V2"
2059,"RT 4203","Depth Skid Waser"
2060,"RT 4250","Depth Skid LH V2"
2061,"RT 5000","Rotavator Frame 36 B"
2062,"RT 8502","SIDE PLATE RH"
2063,"RT 8503","SIDE PLATE LH"
2064,"RT 8504","DOOR SUPPORT RIB"
2065,"RT 8505","LINK SUPPORT RIB"
2066,"RT 8506","Square Pipe 60-60-4 36 Blade"
2067,"RT 8507","SQUARE PIPE 52-52-3.5"
2068,"RT 8508","GEAR BOX FLANGE CLAMP"
2069,"RT 8509","Stand Pipe Holder"
2070,"RT 8511","DOOR HINGE Z PLATE"
2071,"RT 8512","DOOR HINGE BUSH SUPPORT PLATE"
2072,"RT 8513","DOOR HINGE BUSH"
2073,"RT 8514","Cat 2 Sq Pipe Holder"
2074,"RT 8515","Spacer -Cat 2 Pipe Holder"
2075,"RT 5000","Rotavator Frame 42 B"
2076,"RT 5007","Side Staper"
2077,"RT 6001","Back Door Wmt 36B"
2078,"RT8601 Back","Door Rolling Plate 36 Blade"
2079,"RT 8602","A Back Door Side Plate LH"
2080,"RT 8602B","Back Door Side Plate RH"
2081,"RT 8603","Holder Support Plate"
2082,"RT8604 Door","Support A"
2083,"RT8605 Door","Support B"
2084,"RT8606 Support",Rib
2085,"RT 6001","Back Door Wmt 42B"
2086,"RT 6002","Hinge Rod Wmt"
2087,"RT 6002","Hinge Rod Wmt 36 Blade"
2088,"RT 6002","Hinge Rod Wmt 42 Blade"
2089,"RT 6004","Back Door Holder"
2090,"RT 6004","Name Plate"
2091,"RT 6005","Damper Spring Large"
2092,"RT 6006","Damper Spring Small"
2093,"RT 6007","Damper Spring Coller Cup"
2094,"RT 6008","Damper Rod"
2095,"RT 6009","Dumper Spring Rod"
2096,"RT 7001","Top Link Mounting Patta"
2097,"RT 7001","Top Link Mounting Patta A"
2098,"RT 7002","Top Link Supporting Patta"
2099,"RT 7002","Top Link Supporting Patta B"
2100,"RT 7003","Clevis Bracket A"
2101,"RT 8701","Hnd Base Plate A"
2102,"RT 8703","Hand Support Plate"
2103,"RT 8705","Rib A"
2104,"RT 7004","Clevis Brackt B"
2105,"RT 8702","Hand Base Plate B"
2106,"RT 8704","Hand Bush"
2107,"RT 7005","Damper Spring Holder"
2108,"RT 7006","Frame Support Pipe"
2109,"RT 7007","Top Link Bush"
2110,"RT 7008","Frame Support Pipe Pin"
2111,"RT 7009","14X46 BLADE LH"
2112,"RT 7009","14X57 BLADE LH"
2113,"RT 7009","Rotavator Hand Pin"
2114,"RT 7010","14X46 BLADE RH"
2115,"RT 7010","14X57 BLADE RH"
2116,"RT 7011","Cat 2 Middle Plate"
2117,"RT 7013","RH Cat2 Top Link"
2118,"RT 7014","LH Cat2 Top Link"
2119,"RT 7015","Cat 2 Middle Plate"
2120,"RT 7028","Delta Star Cover"
2121,"RT 8065","MS SHEET"
2122,"RT 8101","Gea Box Housing Flange"
2123,"RT 8103","Multi Gear Pipe RH 42 Blade"
2124,"RT 8104","Multi Gear Dummy Pipe"
2125,"RT 8104","Multi Gear Dummy Pipe 42 Blade"
2126,"RT 8104","Multi Gear Pipe LH"
2127,"RT 8106","Multi Gear End Cap LH"
2128,"RT 8300","Rotary Assembly"
2129,"RT 8301","Rotary Pipe 36 Blade"
2130,"RT 8302","ROTARY FLANGE A 8 inch"
2131,"RT 8303","Rotary B"
2132,"RT 8303","ROTARY FLANGE B 8 inch"
2133,"RT 8304","Rotary Flange A 10inch"
2134,"RT 8401","DEPTH SKIT TOP ROLLING PATTA"
2135,"RT 8402","Depth Skid Top Rolling Patta"
2136,"RT8411 Cover","Protecter Piate A"
2137,"RT8412 Cover","Protecter Plate B"
2138,"RT 8501","Base Plate 36 Blade"
2139,"RT 8506","SQUARE PIPE 60-60-4 42 Blade"
2140,"RT 8508","Semi Gear Box Housing Clamp"
2141,"RT8602 Back","Door Side Plate"
2142,"RT 8611hinge","Rod 42 Blade"
2143,"RTP 8611","MS Rod OD19mm x 858mm"
2144,"RT 8622","Damper Bush"
2145,"RT 8623","Damper Support Cup"
2146,"RT 8704A","Front Hand Bush"
2147,"RT Depth","Skid Waser"
2148,"RTM 1001","Gear Box Housing"
2149,"RTM 1002","Back Cover"
2150,"RTM 1003","Pto Shaft"
2151,"RTM 1004-16B","Transmission Shaft 16 Blade"
2152,"RTM 1004-20B","Transmission Shaft 20 Blade"
2153,"RTM 1004","- 24B Transmission Shaft 24 Blade"
2154,"RTM 1005","Transmission Shaft Coller"
2155,"RTM 1006","Flange RH 16 Blade"
2156,"RTM 1006","Flange RH 20 blade"
2157,"RTM 1007","Dummy Flange 16 Blade"
2158,"RTM 2001","Gear Side Plate (24-43-34)"
2159,"RTM 2002","Dummy Side Plate"
2160,"RTM 2013","Side Gear Cover"
2161,"RTM 2201","Dummy Pipe Holder"
2162,"RTM 3000","Mini Rotary Flange"
2163,"RTM 3000","Mini Rotary Flange 24 Blade"
2164,"RTM 3000","Rotary Wmt 16 Blade"
2165,"RTM 3000","Rotary Wmt 20 Blade"
2166,"RTM 3000","Rotary Wmt 24 Blade"
2167,"RTM 3002","Dust Cover"
2168,"RTM 4001","Depth Skit Bottom Patta"
2169,"RTM 4002","Depth Skit Adjuster"
2170,"RTM 4004","Depth Skid Adjuster Front"
2171,"RTM 4100","Depth Skit RH"
2172,"RTM 4200","Depth Skit LH"
2173,"RTM 5000","Rotavator Frame 16 Blade"
2174,"RTM 5000","Rotavator frame 20 Blade"
2175,"RTM 5000","Rotavator frame 24 Blade"
2176,"RTM 6001","Back Door Wmt 16 Blade"
2177,"RTM 6001","Back Door wmt 20 blade"
2178,"RTM 6001","Back Door wmt 24 blade"
2179,"RTM 6002","Hinge Rod Wmt 16B"
2180,"RTM 6003","D Samper Spring Assembly"
2181,"RTM 6004","Back Door Holder"
2182,"RTM 7001","Top Link Mounting Patta A"
2183,"RTM 7002","Top Link Mounting Patta B"
2184,"RTM 7005","Dumper Spring Holder"
2185,"RTM 7006","Frame Support Pipe"
2186,"RTM 7007","Top Link Bush"
2187,"RTM 7009","Top Link Cat 2LH"
2188,"RTM 7010","Top Link Cat 2 RH"
2189,"RTM 7011","Cat 2 Middle Plate"
2190,"RTM 7012","Hand Pin"
2191,"RTM 8101-16B","RH Flange Pipe 16 Blade"
2192,"RTM 8101-20B","RH Flange Pipe 20 Blade"
2193,"RTM 8102","Housing Flange"
2194,"RTM 8103","RH Side Plate Flange"
2195,"RTM 8104-16B","Dummy Gear Pipe 16 Blade"
2196,"RTM 8104","- 20B Dummy Gear Pipe 20 Blade"
2197,"RTM 8105","Dummy Housing Flange"
2198,"RTM 8221","Dummy Pipe Support Plate"
2199,"RTM 8402","Depth Skid Holder A"
2200,"RTM 8403","Depth Skid Holder B"
2201,"RTM 8505","LINK SUPPORT RIB"
2202,"RTM 8508","Gear Box Flange Clamp"
2203,"RTM 8607","Support Rib Mini"
2204,"RTM 8612","Hinge Rod Side Plate"
2205,"RTM 8701","Cat 2 Plate LH"
2206,"RTM 8702","Cat 2 Plate RH"
2207,"RTMP 2102","43 Teeth Squr Gear"
2208,"RTP 1121","Bearing 30209"
2209,"SP046 Bearing",32211
2210,"RTP 7028","Star Cover"
2211,"RTP 8508","Semi Gearbox Housing Clamp"
2212,"RT Square","Pipe 60-60-4"
2213,"Sample Shaft",
2214,"SH 2010","Driven Pulley 5"" x 4C"
2215,"SH 2011","Drive Pulley 24"" x 4C"
2216,"SP001 Tipping","Hose 1 1/4"
2217,"SP002 Coupling","Set New"
2218,"SP003 Coupling","Set Old"
2219,"SP004 Linch","Pin Medium (2)"
2220,"SP005 Linch","Pin Small (3)"
2221,"SP006 Linch","Pin L Link(4)"
2222,"SP007 Linch","Pin Big(1)"
2223,"SP008 Rotavator","Cross (M)"
2224,"SP009 Rotavator","Cross (S)"
2225,"SP010 Rotavator","Cross Big"
2226,"SP011 Yoke","Mini Inner (1)"
2227,"SP012 YOKE","Outer (2)"
2228,"SP013 YOKE","6 Spline Mini (1)"
2229,"SP014 Chain","Case Pkg GM"
2230,"SP015 Chain","Case SM"
2231,"SP016 5","Tin Showal Set"
2232,"SP017 9","Tin Showel Set"
2233,"SP018 6splain","Yoke Inner Lock"
2234,"SP019 Oil","Seal 65-80-10"
2235,"SP020 Oil","Seal 55-72-10"
2236,"SP021 Showal",Bolt
2237,"SP022 OIL","SEAL 75-100-10"
2238,"SP023 Gasket",GM
2239,"SP024 Tille","Pin Set"
2240,"SP026 Rotavator","Chain 11/2"
2241,"SP027 Air","Breather Cap"
2242,"SP028 R","Pin Medium"
2243,"SP029 R","Pin Small"
2244,"SP030 R","Pin Big"
2245,"SP031 Air","Seal 55-72-10"
2246,"SP032 Air","Seal 40x72x10"
2247,"SP033 Push","Pin Big"
2248,"SP035 Gear","Oil 90-1ltr"
2249,"SP036 Gear","Oil 90-5ltr"
2250,"SP038 Gear","Oil 140-5lit"
2251,"SP039 MG",20/40-1LTR
2252,"SP040 MG20/40-5Ltr",
2253,"SP041 Grease-1kg",
2254,"SP042 AP3",Grease-1kg
2255,"SP043 AP3","Grease 1/2kg"
2256,"SP044 Bearing",25877
2257,"SP045 Bearing",1988
2258,"SP047 Bearing",6311
2259,"SP048 Bearing",30208
2260,"SP051 Bearing",32208
2261,"Square Tube","100 x 100 x 5mm"
2262,"RM Test",
2263,"T.Motor Frame",Alter
2264,"Travelling Motor","Assambly 212"
2265,"Wear Strip",9.7*2.5
2266,"Welding Nut",
2267,"Welding Tip",
2268,"Yuri Buffing",Wheel
